"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.330883440E-1,-4.144939780E-2,2.906537056E-2,-1.076602936E-2
9.430883440E-1,-1.397891343E-2,1.556289196E-2,4.775905609E-2
9.530883440E-1,7.530540228E-3,-1.342535019E-2,1.803245544E-1
9.630883440E-1,-4.790244997E-2,1.066637039E-2,1.736536026E-1
9.730883440E-1,-2.337735891E-2,3.021430969E-2,-5.366134644E-2
9.830883440E-1,4.378223419E-2,3.502750397E-2,-1.469297409E-1
9.930883440E-1,3.824870288E-2,-2.243876457E-3,-6.524944305E-2
1.003088344E0,-6.593704224E-3,-4.764008522E-2,-5.759048462E-2
1.013088344E0,2.163329720E-2,-2.706396580E-2,-4.252624512E-2
1.023088344E0,1.293978095E-2,-4.635107517E-2,-2.493190765E-2
1.033088344E0,-9.683221579E-4,-5.793249607E-2,-5.752277374E-2
1.043088344E0,-1.875714958E-2,-4.021978378E-2,-8.583068848E-3
1.053088344E0,-5.895346403E-3,-5.996811390E-2,5.731868744E-2
1.063088344E0,-5.934983492E-4,-3.153264523E-2,5.149936676E-2
1.073088377E0,-1.445560157E-2,-4.772269726E-2,1.028556824E-1
1.083088377E0,-2.462342381E-2,-2.489912510E-2,1.251401901E-1
1.093088377E0,-9.602442384E-3,-3.753316402E-2,3.450393677E-2
1.103088377E0,-3.849500418E-2,-3.253412247E-2,1.778221130E-2
1.113088377E0,-1.782038808E-2,-1.554679871E-2,-4.683780670E-2
1.133088343E0,-1.401004195E-2,-3.164863586E-2,-6.349182129E-2
1.143088343E0,-1.081539690E-2,-3.257906437E-2,-1.052284241E-2
1.153088343E0,2.021789551E-3,-3.739953041E-3,3.306865692E-2
1.163088343E0,-2.048164606E-3,8.119106293E-3,5.267429352E-2
1.173088343E0,1.537218690E-2,6.461143494E-5,-2.124023438E-2
1.183088343E0,1.549632847E-2,3.618240356E-3,-4.735088348E-2
1.193088343E0,1.514802873E-2,4.090189934E-3,-4.726886749E-2
1.203088343E0,3.048419952E-3,-3.545880318E-2,-4.705047607E-2
1.213088343E0,-2.376191318E-2,-9.140634537E-2,5.902290344E-3
1.223088343E0,-3.362980485E-2,-8.210372925E-2,-8.802413940E-4
1.233088343E0,2.208396792E-3,-6.133830547E-2,5.449485779E-2
1.243088343E0,4.189297557E-2,-6.584262848E-2,1.191701889E-1
1.253088343E0,-8.388012648E-4,-7.357442379E-2,3.043651581E-2
1.263088343E0,1.243591309E-2,-4.792368412E-2,-8.464050293E-2
1.273088343E0,1.649931073E-2,-1.894450188E-2,-1.564359665E-1
1.283088343E0,2.421936393E-2,1.664566994E-2,-1.225566864E-1
1.293088343E0,1.940575242E-2,3.645670414E-2,7.909297943E-2
1.303088343E0,4.138824344E-2,5.765724182E-2,1.201477051E-1
1.313088343E0,2.791318297E-2,9.757161140E-2,1.079940796E-1
1.323088376E0,4.766219854E-2,8.628106117E-2,6.167507172E-2
1.333088376E0,2.961698174E-2,6.568622589E-2,4.364585876E-2
1.343088376E0,3.686492145E-2,5.408430099E-2,5.182456970E-2
1.353088376E0,3.244973719E-2,4.533982277E-2,6.728744507E-2
1.363088376E0,1.387719810E-2,4.642117023E-2,5.886650085E-2
1.383088342E0,-6.287202239E-3,3.656387329E-2,2.053070068E-2
1.393088342E0,-2.279958129E-2,4.280352592E-2,-1.171016693E-2
1.403088342E0,-2.743607759E-2,1.817619801E-2,6.378173828E-3
1.413088342E0,-4.169285297E-2,-1.057040691E-2,6.768894196E-2
1.423088342E0,-3.604052961E-2,-2.666389942E-2,6.689453125E-2
1.433088342E0,-2.204254270E-2,-3.957903385E-2,5.190086365E-2
1.443088342E0,-3.365099430E-2,-1.582789421E-2,3.466701508E-2
1.453088342E0,-4.276515543E-2,8.729696274E-4,1.746177673E-2
1.463088342E0,-9.174570441E-3,5.532264709E-3,9.812355042E-3
1.473088342E0,-7.597982883E-3,-1.711368561E-3,4.555702209E-3
1.483088342E0,5.539521575E-3,1.480162144E-2,7.587337494E-2
1.493088342E0,4.745551199E-2,-5.504846573E-3,4.646968842E-2
1.503088342E0,4.569806904E-2,-9.956479073E-3,4.562091827E-2
1.513088342E0,1.713986695E-2,-3.375411034E-2,-2.709388733E-2
1.523088342E0,3.665705025E-2,-1.449990273E-2,-1.122379303E-2
1.533088342E0,8.174970746E-3,1.468610764E-2,-6.950950623E-2
1.543088342E0,1.092040539E-2,1.261842251E-2,-4.880714417E-2
1.553088342E0,1.523993909E-2,6.118059158E-3,-2.326107025E-2
1.566806191E0,2.200776339E-2,4.303872585E-2,5.262660980E-2
1.576806224E0,5.492021143E-2,6.954169273E-2,1.583290100E-2
1.586806224E0,2.295424789E-2,6.838226318E-2,2.189731598E-2
1.596806224E0,4.613974690E-2,8.057641983E-2,7.566928864E-2
1.606806224E0,4.337540269E-2,7.270264626E-2,7.422447205E-2
1.616806224E0,3.622867167E-2,7.783055305E-2,2.090206146E-1
1.636806190E0,1.015394926E-3,9.482645988E-2,4.917240143E-2
1.646806190E0,1.286409050E-2,9.595036507E-2,-8.481216431E-2
1.656806190E0,2.406856418E-2,1.468384266E-2,-8.204555511E-2
1.666806190E0,5.089789629E-4,1.786887646E-2,-5.002784729E-2
1.676806190E0,-2.667546272E-3,-8.169412613E-4,-2.484893799E-2
1.686806190E0,2.401456982E-2,5.668616295E-2,-7.596206665E-2
1.696806190E0,2.600282431E-2,5.488383770E-2,1.187515259E-2
1.706806190E0,-1.071304828E-2,4.160308838E-2,3.754520416E-2
1.716806190E0,-7.172301412E-3,5.307042599E-2,3.704071045E-2
1.726806190E0,1.453377306E-2,6.099069118E-2,7.945632935E-2
1.736806190E0,2.894925326E-2,5.276477337E-2,1.718502045E-1
1.746806190E0,-7.890678942E-3,9.105205536E-3,1.825151443E-1
1.756806190E0,-9.351320565E-3,-3.489255905E-4,1.809253693E-1
1.766806190E0,7.551223040E-3,-2.950346470E-2,8.108234406E-2
1.776806190E0,-2.368117869E-2,-1.833951473E-2,2.907180786E-2
1.786806190E0,-1.004022360E-2,2.059602737E-2,1.321029663E-2
